Name;Year;Origin;Group;A;VA;TA;FA;pH;TPR;TPS;V;PC;ACR;ACS;ACC;CI;CI2;H;I;CA;VPC
w1;1986;Ribera;R86;12.8;1.2;6.7;5.2;3.7;2827;50.8;811;3794;386;287;181;7.81;8.95;0.72;18.4;0.489;0.21
w2;1986;Ribera;R86;12.8;0.75;6.9;6;3.5;1818;37.8;968;1736;144;141;69;4.88;5.55;0.755;23.6;0.48;0.56
w3;1986;Ribera;R86;12.5;1;7.2;6;3.6;1459;35.1;866;2306;225;132;78;5.52;6.35;0.456;36.8;0.598;0.38
w4;1986;Ribera;R86;11.9;0.7;7.7;6.8;3.3;2054;32.1;978;3420;204;110;84;4.64;5.15;0.675;36.4;0.42;0.29
w5;1986;Ribera;R86;12.5;0.95;7.7;6.3;3.6;2930;49.6;1128;3158;214;148;75;6.99;7.87;0.672;34.2;0.45;0.36
w6;1986;Ribera;R86;12.1;0.5;5.8;5.2;3.2;1906;30.6;875;2931;167;95;74;3.98;4.36;0.716;38.1;0.434;0.3
w7;1986;Ribera;R86;12.2;0.8;5.9;4.9;3.4;2071;35.6;754;3101;252;160;101;7.6;8.84;0.716;28.5;0.501;0.24
w8;1986;Ribera;R86;12.6;0.4;5.4;4.9;3.3;1996;30.6;1202;3001;315;124;101;6.15;7.11;0.74;27.7;0.566;0.4
w9;1986;Ribera;R86;13;0.4;4.6;4.1;3.6;2687;41.7;1354;4785;293;170;137;6.6;7.85;0.93;21.6;0.557;0.28
w10;1986;Ribera;R86;12.4;0.35;5.5;5;3.3;2468;30;739;2800;152;67;56;5.49;6.23;0.75;30.3;0.689;0.26
w11;1986;Ribera;R86;12.6;0.35;5.6;5.2;3.3;1965;30.4;839;2878;144;78;61;5.25;5.96;0.756;33.6;0.584;0.29
w12;1986;Ribera;R86;12.2;0.4;4.8;4.4;3.5;1731;28.4;770;2649;193;107;75;5.86;6.65;0.77;25.6;0.614;0.29
w13;1986;Ribera;R86;12.8;0.4;5.2;4.7;3.5;1827;29;960;2746;179;101;65;5.77;6.65;0.748;29.2;0.607;0.35
w14;1986;Ribera;R86;13;0.6;5.3;4.5;3.6;2110;38.9;489;2587;358;238;172;6.29;6.97;0.682;22.8;0.411;0.19
w15;1987;Ribera;R87;12.3;0.4;4.5;4.1;3.7;925;20.8;615;1792;231;177;168;1.95;2.11;0.893;22.4;0.227;0.34
w16;1987;Ribera;R87;11.3;0.3;4.7;4.3;3.7;1637;30;881;2386;254;189;154;3.68;4.19;0.859;21.3;0.274;0.37
w17;1987;Ribera;R87;10.8;0.3;4.8;4.4;3.7;1103;21.9;658;1906;158;120;89;2.2;2.44;0.88;20.7;0.319;0.35
w18;1987;Ribera;R87;11.2;0.4;4.4;3.9;3.7;1528;28.2;735;2188;275;203;146;4.05;4.57;0.674;17.8;0.382;0.34
w19;1987;Ribera;R87;11.9;0.35;4.3;3.9;3.6;1468;24.8;666;1889;222;169;132;3.31;3.74;0.706;16.9;0.376;0.35
w20;1987;Ribera;R87;11.5;0.4;4.4;3.9;3.6;1462;25.7;612;1877;236;178;130;3.98;4.46;0.665;19.2;0.371;0.33
w21;1987;Ribera;R87;11.7;0.25;5.7;5.4;3.7;1887;33.7;830;2634;290;223;186;3.17;3.53;0.695;22.8;0.257;0.32
w22;1987;Ribera;R87;11.6;0.65;4.5;3.7;3.8;2071;32.1;906;2598;242;187;146;2.63;2.99;0.742;20.6;0.28;0.35
w23;1987;Ribera;R87;12.4;0.4;4.8;4.3;3.7;2074;35.9;770;2702;220;167;101;5.34;6.01;0.633;26.1;0.435;0.29
w24;1987;Ribera;R87;11.4;0.55;4.6;3.9;3.7;1481;27.5;726;2046;273;186;154;2.09;2.32;0.685;19.7;0.247;0.35
w25;1987;Ribera;R87;12;0.5;4.8;4.2;3.6;1359;22;543;1771;184;111;87;3.46;3.96;0.64;24.7;0.383;0.31
w26;1987;Ribera;R87;12.7;0.35;4.3;3.9;3.6;1981;28.6;853;2506;270;212;156;3.09;3.42;0.717;19.5;0.274;0.34
w27;1987;Ribera;R87;11.9;0.55;4.5;3.8;3.6;1890;29.5;748;2570;309;230;179;2.82;3.04;0.64;22.2;0.265;0.29
w28;1987;Ribera;R87;11.9;0.55;4.6;3.9;3.6;1706;32.2;659;2282;248;189;149;2.12;2.23;0.631;21.2;0.222;0.29
w29;1987;Ribera;R87;12.7;0.8;5.6;4.6;3.8;1503;24.2;637;2036;384;200;159;3.83;4.31;0.68;18;0.404;0.31
w30;1987;Ribera;R87;12.2;0.4;4;3.5;3.8;1778;25.2;670;2871;263;189;139;4.2;4.81;0.687;17.1;0.47;0.23
